@Lemon24K - ("Delightful", "Easygoing" & "Kooky")
@dovewell - ("Teachable", "Thoughtless" & "Touchy")
@Ravyndawolf - ("Generous", "Proud" & "Reclusive")
@lexi-24k - ("Resilient", "Direct" & "Genial")
@ABW_Meep - ("Amiable", "Dependable" & "Giddy")
@Mittins7 - ("Popular", "Nice" & "Candid")
@FRIED_RICE_4EVER - ("Humble", "Creative" & "Glib")
@-_Ashfur-_ - ("Illustrious", "Amusing" & "Venal")
@beengo - ("Content", "Self-confident" & "Quick-witted")
@-_Silvertail-_ - ("Content", "Consistent" & "Funky")
@Lightningstar127 - ("Discerning", "Open-minded" & "Placid")
@PerilsRath - ("Steady", "Reliable" & "Quick-witted")
@indigo_lemon_studios - ("Authentic", "Nice" & "Shrewd")
@FRANthebarncat12345 - ("Likable", "Practical" & "Ebullient")
@SaLtY_YuM - ("Qualified", "Trustworthy" & "Gregarious")
@tweetybird_xx - ("Amiable", "Considerate" & "Crafty")
@Qibil4056 - ("Qualified", "Inflexible" & "Courtly")
@-Mingo_Da_Alienn- - ("Teachable", "Crazy" & "Forthright")
@evelynhuang32 - ("Bighearted", "Creative" & "Frank")
@SodyP0PXD - ("Cultured", "Kind" & "Affable")
@STRWB3RRYC4T45 - ("Amiable", "Nervous" & "Belligerent")
@Kattheactor - ("Experienced", "Passionate" & "Ethereal")
@ArtMothButterfly - ("Hopeful", "Diligent" & "Crafty")
@-Pennatae- - ("Knowledgeable", "Self-confident" & "Philosophical")
@goldwolf_animator - ("Smart", "Egotistical" & "Circumspect")
@saffire6 - ("Curious", "Cowardly" & "Placid")
@Moonlight3490 - ("Generous", "Gentle" & "Genial")
@MoonDragn - ("Popular", "Diligent" & "Courtly")
@Kitty_Fox09 - ("Illustrious", "Hilarious" & "Freewheeling")
@-nightshade360- - ("Discerning", "Amusing" & "Freewheeling")
@song-lit - ("Experienced", "Wise" & "Circumspect")
@13Chan_Official - ("Astute", "Silly" & "Erudite")
@_verycookie_ - ("Popular", "Kind" & "Plucky")
@martymomentoftheday - ("Hopeful", "Hilarious" & "Freewheeling")
@_-_Blood-Moon_-_ - ("Fabulous", "Empathetic" & "Exuberant")
@Goobthedonut - ("Incisive", "Cynical" & "Crafty")
@white_tigrrr - ("Generous", "Passionate" & "Philosophical")
@Melodythereader - ("Experienced", "Intellectual" & "Affable")
@Extreme_Fox_Coder - ("Resourceful", "Reliable" & "Dauntless")
@Maple-The-Fawn - ("Able", "Cheerful" & "Pioneering")
@FrecklepawOfShadow - ("Teachable", "Unassuming" & "Delicate")
@LabbyMaple - ("Well-respected", "Funny" & "Pioneering")
@Keiji-kamizuki - ("Fashionable", "Faithful" & "Plucky")
@FireFox_113540 - ("Cute", "Hilarious" & "Shrewd")
@EvieTheDestroyer - ("Unaffected", "Determined" & "Plucky")
@_glitterpaw_ - ("Bighearted", "Carefree" & "Dynamic")
@daffxdils- - ("Humble", "Broad-minded" & "Pigheaded")
@random-arty-dragon - ("Friendly", "Dependable" & "Calculating")
@tansyspring - ("Experienced", "Nervous" & "Versatile")
@The1Only_Darkstalker - ("Gifted", "Easygoing" & "Convivial")
@DaintreetheRainwing - ("Comfortable", "Wise" & "Ethereal")
@hellokookie - ("Knowledgeable", "Understanding" & "Dauntless")
@EddaEd - ("Cultured", "Hilarious" & "Funky")
@Coding_Kat - ("Experienced", "Open-minded" & "Cantankerous")
@DawnGrace - ("Illustrious", "Consistent" & "Charismatic")
@s_o_r_a_a - ("Unaffected", "Faithful" & "Shrewd")
@_-slothy-_ - ("Talented", "Reliable" & "Kooky")
@WoFmoondrakstalker - ("Friendly", "Crazy" & "Fervent")
@Moon58765 - ("Able", "Honest" & "Gregarious")
@xXWillowWoolfXx - ("Bright", "Sympathetic" & "Ethereal")
@Star_Scarred_Cats - ("Smart", "Honest" & "Pigheaded")
@CitrineTheWoFFox - ("Generous", "Powerful" & "Candid")
@_-CrowStar-_ - ("Smart", "Funny" & "Funky")
@autum_catz24 - ("Agreeable", "Nervous" & "Placid")
@Ketchup_630 - ("Defiant", "Considerate" & "Plucky")
@indiegirltastic - ("Illustrious", "Kind" & "Quick-witted")
@Existance59321 - ("Gifted", "Dedicated" & "Capricious")
@Xylorythm - ("Amiable", "Broad-minded" & "Dynamic")
@CocoaTheBunny222 - ("Intelligent", "Dedicated" & "Candid")
@JrrJrrJrreeh - ("Delightful", "Warmhearted" & "Capricious")
@zappybatz - ("Generous", "Sympathetic" & "Ethereal")
@sandstormloafer - ("Resourceful", "Wise" & "Finicky")
@-WildSun- - ("Popular", "Direct" & "Finicky")
@-CodeyKoiKitty- - ("Resilient", "Creative" & "Genial")
@TheTechnoArtist - ("Punctual", "Self-confident" & "Dauntless")
@Dontmindme-123 - ("Amiable", "Powerful" & "Cordial")
@GalacticFox_ - ("Humble", "Silly" & "Crafty")
@honeyraven - ("Friendly", "Creative" & "Shrewd")
@Sunshine348 - ("Friendly", "Wise" & "Quick-witted")
@Songwishwarrior - ("Fashionable", "Clever" & "Fervent")
@LeeOrio - ("Educated", "Emotional" & "Cantankerous")
@thescratchwolf7 - ("Illustrious", "Crazy" & "Reclusive")
@TinyFrog_WC - ("Dashing", "Anxious" & "Belligerent")
@_MAPL3SHAD3_ - ("Farsighted", "Giving" & "Capricious")
@honeydoddle - ("Mature", "Exacting" & "Bigheaded")
@Flutterfall - ("Unaffected", "Exacting" & "Pigheaded")
@The_Doghnut_Cat - ("Dashing", "Funny" & "Eccentric")
@ariikaii - ("Well-respected", "Diligent" & "Pioneering")
@PetalsInOrbit - ("Able", "Independent" & "Charismatic")
@vo1d-- - ("Comfortable", "Wise" & "Crotchety")
@lulubita - ("Curious", "Dedicated" & "Reclusive")
@46goldencoins - ("Agreeable", "Dependable" & "Adaptable")
@Mystica_the_Espeon - ("Fashionable", "Gentle" & "Pigheaded")
@Ollie-Doodles - ("Fanciful", "Anxious" & "Complex")
